id,name,reader_id,abonement,read_hall,received,lost,released,author,give_point,order_date,edition,receive_date
214,JHubwWxvLO,12,2,9,2018,2020,1996,Chung Brodeur,5,2019-07-10 00:00:00,6,2019-07-22 00:00:00
215,OhsFIVQLXD,135,2,3,2019,0,1997,Susana Delagarza,4,2018-09-17 00:00:00,9,2018-10-14 00:00:00
216,mlgSGyfYmU,40,4,4,2018,0,1995,Lori Mcvey,5,2018-09-24 00:00:00,3,2018-10-02 00:00:00
217,loZRRnfWKU,77,3,3,2017,0,2000,Monica Taft,2,1000-01-01 00:00:00,9,1000-01-01 00:00:00
218,OhsFIVQLXD,133,4,4,2019,0,2004,Bertha Haza,2,2018-02-09 00:00:00,2,2018-02-26 00:00:00
219,hXwOLtTYKu,126,3,3,2016,2019,1992,Catherine Schwarz,3,2018-01-26 00:00:00,2,2018-02-18 00:00:00
220,FbblXSdaQl,93,2,7,2019,2020,1995,Betty Thompson,3,1000-01-01 00:00:00,8,1000-01-01 00:00:00
221,lFzsqaEity,21,4,4,2019,2021,2001,Joshua Gentry,1,2019-09-30 00:00:00,5,2019-10-15 00:00:00
222,HyLygEtbfh,45,2,8,2019,0,1994,Celestina Williams,1,1000-01-01 00:00:00,6,1000-01-01 00:00:00
223,gGtETGehKP,43,3,1,2017,0,2005,Juan Caraway,5,1000-01-01 00:00:00,6,1000-01-01 00:00:00
224,ANNqxvcfDa,30,4,6,2019,0,2005,Debra Riddle,3,1000-01-01 00:00:00,2,1000-01-01 00:00:00
225,qjUySBOHOd,27,1,4,2016,0,1997,Scott Mckinney,3,2018-03-21 00:00:00,1,2018-03-22 00:00:00
226,zJRUAYilPM,109,4,7,2016,0,2009,Kathy Chandler,5,1000-01-01 00:00:00,5,1000-01-01 00:00:00
227,aVZQRArCfp,129,3,9,2017,0,1994,Troy Mills,1,2017-06-19 00:00:00,3,2017-07-18 00:00:00
228,pDJFIJKenh,96,3,2,2016,0,2004,Cody Holt,4,2018-07-30 00:00:00,9,2018-08-26 00:00:00
229,JHubwWxvLO,28,1,2,2016,2018,2008,Matthew Moore,5,2017-12-15 00:00:00,2,2018-01-02 00:00:00
230,PbqUoDenDN,87,2,6,2019,0,1998,Leonard Carter,1,2018-08-21 00:00:00,9,2018-08-29 00:00:00
231,xwjGqrjjsk,95,4,2,2016,0,1991,Jane Harrison,4,2018-02-01 00:00:00,7,2018-03-04 00:00:00
232,snJubEmlTU,124,1,8,2016,0,1999,Dwayne Rudy,5,2018-11-18 00:00:00,1,2018-11-21 00:00:00
233,eobVSsQSaA,4,3,5,2016,0,1992,Kevin Ryan,2,2017-07-20 00:00:00,5,2017-07-23 00:00:00
234,XcnPdDZPZO,29,3,3,2016,0,2000,Charles Jacks,3,1000-01-01 00:00:00,7,1000-01-01 00:00:00
235,sXszVSxOcV,60,3,1,2018,2020,2006,Geraldine Wilson,3,2018-11-01 00:00:00,9,2018-11-03 00:00:00
236,csLuyypDYc,51,3,7,2018,0,2002,Jason Crieghton,1,1000-01-01 00:00:00,3,1000-01-01 00:00:00
237,waRlCEJzdU,35,4,8,2016,2018,1996,Timothy Miranda,4,2019-11-22 00:00:00,7,2019-12-16 00:00:00
238,mlgSGyfYmU,74,4,2,2017,0,2007,Jane Robertson,5,2019-11-29 00:00:00,7,2019-12-18 00:00:00
239,wUORXYwuCr,30,2,2,2017,0,2009,Jonathan Friend,5,2019-02-03 00:00:00,1,2019-02-12 00:00:00
240,bycFnlzlSD,127,3,4,2019,0,2003,Dorothy Mutchler,1,2017-10-04 00:00:00,6,2017-10-28 00:00:00
241,kNMaEaklwR,62,4,8,2019,0,1990,Lonnie Rebuck,4,1000-01-01 00:00:00,5,1000-01-01 00:00:00
242,dsawRJfVQt,106,2,3,2016,0,1991,Pamela Davis,5,1000-01-01 00:00:00,3,1000-01-01 00:00:00
243,sCgKfVImBb,18,3,2,2016,0,1991,Pattie Pierce,2,2018-10-28 00:00:00,2,2018-11-09 00:00:00
244,csLuyypDYc,125,1,9,2017,0,2003,Alex Vinson,2,2018-05-19 00:00:00,1,2018-06-06 00:00:00
245,wfnsfZHiUq,133,2,1,2019,0,1998,Jerome Collier,5,2019-12-30 00:00:00,4,2020-01-18 00:00:00
246,QPFLwXLLZT,88,2,7,2018,0,2002,Matthew Moore,2,2017-11-25 00:00:00,3,2017-12-17 00:00:00
247,uiOykvlRLJ,69,2,8,2019,0,1999,Michael Stegall,4,1000-01-01 00:00:00,7,1000-01-01 00:00:00
248,naErycVMFg,70,2,7,2017,0,1994,Courtney Rogers,1,1000-01-01 00:00:00,4,1000-01-01 00:00:00
249,ZjQYSQpoCv,16,1,1,2017,0,2003,Norma Spencer,2,2018-07-23 00:00:00,5,2018-07-24 00:00:00
250,DhpUjtuOUI,135,3,6,2018,0,1996,Georgia Harrison,2,1000-01-01 00:00:00,9,1000-01-01 00:00:00
251,QPFLwXLLZT,89,4,7,2018,0,1992,Jonathan Friend,1,1000-01-01 00:00:00,7,1000-01-01 00:00:00
252,DTbJoeNcir,135,3,7,2017,0,1993,Charles Jacks,3,2019-06-03 00:00:00,2,2019-06-16 00:00:00
253,xwjGqrjjsk,130,4,5,2019,2020,2003,Gary Fontaine,3,1000-01-01 00:00:00,3,1000-01-01 00:00:00
254,QPFLwXLLZT,80,1,9,2018,0,1993,Suzanne Freeman,1,2018-12-30 00:00:00,1,2019-01-19 00:00:00
255,GEolesoFDi,41,4,4,2017,0,2007,Tanya Grayson,1,2018-12-25 00:00:00,4,2019-01-24 00:00:00
256,rJtzbwgmhE,72,1,8,2017,0,2006,Roxanne Yeast,1,2019-06-23 00:00:00,7,2019-07-16 00:00:00
257,MEzkjBcVlN,42,1,7,2018,2021,2002,Keri Sines,4,2018-03-03 00:00:00,5,2018-03-14 00:00:00
258,tKRUnrbpJk,105,4,9,2016,0,1996,Tanya Grayson,2,1000-01-01 00:00:00,9,1000-01-01 00:00:00
259,bolBfATBtA,10,1,4,2018,0,2009,Mary Myers,5,2019-06-18 00:00:00,3,2019-06-24 00:00:00
260,IdDbDPkLFp,118,3,7,2017,2019,2005,Debra Riddle,1,2018-06-12 00:00:00,2,2018-06-29 00:00:00
261,IMlzGuxcaH,46,3,7,2019,2020,1996,Graciela Lansberry,2,2019-07-11 00:00:00,2,2019-08-01 00:00:00
262,qTTmjdJIdH,40,2,3,2017,0,1993,Daryl Edwards,2,1000-01-01 00:00:00,4,1000-01-01 00:00:00
263,UgYNurCjMF,50,3,4,2018,0,2007,Felipe Hertel,2,2018-08-03 00:00:00,7,2018-08-04 00:00:00
264,OhsFIVQLXD,70,4,6,2018,0,2001,Donald Crumb,2,2018-04-17 00:00:00,1,2018-05-05 00:00:00
265,YpUmmXnhpu,9,3,1,2018,0,1995,Robert Gregory,2,1000-01-01 00:00:00,3,1000-01-01 00:00:00
266,eXCDzvqrDk,20,3,5,2017,0,2007,Chung Brodeur,3,2018-09-18 00:00:00,4,2018-10-10 00:00:00
267,RHQTwwKqnJ,111,3,4,2019,0,2004,Anna Solomon,3,2017-11-26 00:00:00,4,2017-12-07 00:00:00
268,NwphVIVBsi,147,4,4,2016,0,1998,Violet Ponce,4,2019-02-18 00:00:00,7,2019-03-18 00:00:00
269,nBmnQeebxp,37,2,3,2019,2020,1994,Lori Mcvey,3,2019-12-13 00:00:00,9,2019-12-27 00:00:00
270,oYZyEUdXes,15,4,5,2019,0,2008,Jesus Oleksy,2,2017-11-07 00:00:00,8,2017-12-03 00:00:00
271,wfnsfZHiUq,5,3,4,2019,2021,1998,Theresa Cinotti,4,2017-10-02 00:00:00,9,2017-10-20 00:00:00
272,IgIwUsIOCw,121,4,7,2019,0,2002,Lance Barnhill,4,2018-03-05 00:00:00,9,2018-03-25 00:00:00
273,MURLjHYYzR,22,4,2,2017,2020,2002,Tyrone Williams,1,2019-10-26 00:00:00,6,2019-11-15 00:00:00
274,ImjbsxFjaH,1,3,2,2019,0,2004,Billie Reilly,4,1000-01-01 00:00:00,9,1000-01-01 00:00:00
275,FGfRdSCJdx,73,3,9,2017,0,2006,Malena Griffin,5,2018-01-05 00:00:00,2,2018-01-31 00:00:00
276,DXmybQjPck,99,1,3,2017,0,2001,Charlotte Ritchie,4,1000-01-01 00:00:00,4,1000-01-01 00:00:00
277,woGffWOOLs,84,4,4,2019,2022,1993,Alex Vinson,1,2019-05-01 00:00:00,9,2019-05-11 00:00:00
278,PjAWxcSynU,84,2,9,2019,0,1991,Frank Haggard,2,2019-10-06 00:00:00,2,2019-11-04 00:00:00
279,sXszVSxOcV,139,4,9,2016,0,2001,Jerome Collier,4,2018-08-10 00:00:00,8,2018-08-13 00:00:00
280,vmPEljegKG,55,2,5,2017,0,1990,Tracy Haines,1,1000-01-01 00:00:00,2,1000-01-01 00:00:00
281,zJRUAYilPM,109,2,7,2016,0,2008,Keri Sines,4,1000-01-01 00:00:00,8,1000-01-01 00:00:00
282,srmlsbWdhm,130,4,6,2017,0,1995,Barton Rose,3,1000-01-01 00:00:00,4,1000-01-01 00:00:00
283,wfnsfZHiUq,72,4,2,2019,0,1990,Margaret Mcdaniel,3,1000-01-01 00:00:00,5,1000-01-01 00:00:00
284,OhsFIVQLXD,62,1,1,2017,2018,1997,George Guy,3,1000-01-01 00:00:00,5,1000-01-01 00:00:00
285,iagFZLQXOd,142,1,1,2017,0,2004,Dorothy Mutchler,3,2017-08-05 00:00:00,6,2017-08-24 00:00:00
286,UgYNurCjMF,22,1,7,2019,2020,2004,Eva Fitzgerald,1,1000-01-01 00:00:00,2,1000-01-01 00:00:00
287,ImjbsxFjaH,104,4,1,2019,0,1996,Cathy Schmitz,4,2018-07-17 00:00:00,8,2018-08-14 00:00:00
288,PjAWxcSynU,121,2,4,2018,0,2005,Georgia Harrison,4,1000-01-01 00:00:00,5,1000-01-01 00:00:00
289,qdeUxdCpZV,29,2,2,2016,0,1991,Dwayne Rudy,4,2017-11-23 00:00:00,1,2017-12-08 00:00:00
290,XRxFRKGyvs,103,2,9,2019,0,2000,Donald Crumb,4,1000-01-01 00:00:00,1,1000-01-01 00:00:00
291,NeGmkHHftE,18,2,8,2019,0,2002,Larry Bussey,1,2019-09-07 00:00:00,4,2019-10-05 00:00:00
292,cOFkFDcETe,146,3,7,2018,0,2005,Autumn Doremus,1,1000-01-01 00:00:00,6,1000-01-01 00:00:00
293,ssLJidMLOL,23,3,1,2018,2021,1992,Donna Friedman,5,1000-01-01 00:00:00,7,1000-01-01 00:00:00
294,qjLhZLrSks,47,3,4,2018,0,2007,Juan Caraway,2,1000-01-01 00:00:00,6,1000-01-01 00:00:00
295,qjUySBOHOd,71,3,8,2016,0,2007,Kathryn Teeter,2,2018-07-16 00:00:00,6,2018-08-12 00:00:00
296,EDKmNdIfOF,140,3,8,2016,0,2003,Mary Loveless,5,1000-01-01 00:00:00,8,1000-01-01 00:00:00
297,eobVSsQSaA,60,2,8,2019,0,1996,Janet Jenkins,4,2017-12-10 00:00:00,5,2017-12-20 00:00:00
298,GZZEZStCpM,35,2,2,2017,2019,2001,Chung Brodeur,4,2017-09-18 00:00:00,6,2017-09-28 00:00:00
299,EEatNodEmN,56,3,6,2017,0,1999,Gary Morris,4,1000-01-01 00:00:00,5,1000-01-01 00:00:00
300,bycFnlzlSD,30,4,9,2016,0,1992,Michael Stegall,2,2017-11-03 00:00:00,3,2017-11-24 00:00:00
301,JWNEmuuVFe,43,4,1,2019,0,1999,Frank Haggard,1,1000-01-01 00:00:00,7,1000-01-01 00:00:00
302,kNMaEaklwR,60,3,3,2018,0,2000,Scott Mckinney,5,2019-10-29 00:00:00,7,2019-11-14 00:00:00
303,QCCFvZucFt,128,2,8,2019,0,1993,Chung Brodeur,2,1000-01-01 00:00:00,7,1000-01-01 00:00:00
304,PmhXiKRmdE,138,1,2,2018,0,1997,Bertha Haza,3,1000-01-01 00:00:00,9,1000-01-01 00:00:00
305,loZRRnfWKU,127,1,6,2017,2018,2002,Steven Burridge,3,1000-01-01 00:00:00,7,1000-01-01 00:00:00
306,OvBIbuNJqP,66,4,4,2017,0,1994,Jane Robertson,3,1000-01-01 00:00:00,7,1000-01-01 00:00:00
307,zJRUAYilPM,101,2,4,2016,0,2009,Fredrick Eppler,1,2017-07-31 00:00:00,9,2017-08-28 00:00:00
308,PbqUoDenDN,83,4,7,2019,0,2000,Mary Myers,5,1000-01-01 00:00:00,2,1000-01-01 00:00:00
309,uhjVITIEJl,71,2,2,2019,2022,1995,Theresa Cinotti,4,1000-01-01 00:00:00,8,1000-01-01 00:00:00
310,MnhPUXtOLj,41,1,5,2019,2022,2008,Marybeth Swinehart,1,2019-11-14 00:00:00,5,2019-12-10 00:00:00
311,pDJFIJKenh,93,1,5,2017,0,1991,Matthew Moore,2,1000-01-01 00:00:00,8,1000-01-01 00:00:00
312,OBknRkXxNS,124,3,5,2017,0,2001,Janet Jenkins,3,2018-12-31 00:00:00,3,2019-01-30 00:00:00
313,aqFbQUPNyd,3,4,5,2018,2021,1996,Timothy Koopmans,2,1000-01-01 00:00:00,3,1000-01-01 00:00:00
314,ykmRKCJJsx,139,4,8,2019,0,1992,Bobby Adams,2,1000-01-01 00:00:00,1,1000-01-01 00:00:00
315,AkYFXFZVDr,87,1,9,2018,0,2007,Charles Capito,3,2017-09-12 00:00:00,6,2017-10-12 00:00:00
316,iWPULghhJc,16,1,9,2018,2019,1990,Marguerite Harmer,2,1000-01-01 00:00:00,4,1000-01-01 00:00:00
317,aVZQRArCfp,38,3,3,2016,0,2005,Jonathan Friend,4,1000-01-01 00:00:00,8,1000-01-01 00:00:00
318,qTTmjdJIdH,6,1,8,2016,2019,1999,Pamela Davis,4,2019-07-11 00:00:00,7,2019-07-15 00:00:00
319,uhjVITIEJl,104,3,7,2019,0,2005,Louie Sullivan,4,2019-05-11 00:00:00,2,2019-05-15 00:00:00
320,waRlCEJzdU,113,3,2,2019,0,2009,Justin Rizzo,1,2018-01-14 00:00:00,2,2018-02-11 00:00:00
321,MSIqvDGnCf,104,2,5,2016,0,2006,Barton Rose,2,2019-03-27 00:00:00,5,2019-03-28 00:00:00
322,pLqDtiCQsH,135,4,2,2017,2019,2003,Suzanne Carlson,1,1000-01-01 00:00:00,7,1000-01-01 00:00:00
323,PmhXiKRmdE,110,2,8,2019,2020,2008,Antonio Letourneau,5,2019-05-16 00:00:00,9,2019-06-13 00:00:00
324,IgnWcZWAyC,132,4,3,2017,0,1990,Kathryn Teeter,1,1000-01-01 00:00:00,1,1000-01-01 00:00:00
325,bycFnlzlSD,121,2,8,2018,0,1997,Jane Robertson,1,2019-04-08 00:00:00,7,2019-04-16 00:00:00
326,cOFkFDcETe,48,4,9,2016,0,2002,Theresa Cinotti,4,1000-01-01 00:00:00,7,1000-01-01 00:00:00
327,MnhPUXtOLj,131,4,1,2016,0,1990,Robert Kepler,2,2018-09-29 00:00:00,6,2018-10-01 00:00:00
328,nBmnQeebxp,148,2,6,2018,0,2007,Reginald Bender,5,1000-01-01 00:00:00,1,1000-01-01 00:00:00
329,ppsqGwZgHF,147,4,1,2016,0,1996,Camille Guzman,3,2017-08-07 00:00:00,3,2017-09-01 00:00:00
330,eLjEbkFYOt,145,2,5,2019,0,1994,Anna Solomon,3,2017-07-22 00:00:00,9,2017-07-27 00:00:00
331,UkpLRNVWlq,92,2,9,2019,2020,1997,Richard Mendoza,2,1000-01-01 00:00:00,6,1000-01-01 00:00:00
332,UgYNurCjMF,146,2,5,2016,0,1997,Malena Griffin,2,2018-07-15 00:00:00,3,2018-07-31 00:00:00
333,tPZScCEwTF,59,4,9,2018,0,2002,Felix Rosi,2,2018-05-13 00:00:00,7,2018-05-23 00:00:00
334,HyLygEtbfh,68,2,5,2019,0,1996,Tyrone Williams,1,1000-01-01 00:00:00,8,1000-01-01 00:00:00
335,IgIwUsIOCw,52,1,8,2018,0,1997,John Tucker,2,2019-02-07 00:00:00,9,2019-02-28 00:00:00
336,rrJPzQGtSZ,115,2,4,2017,0,2009,Robert Mauldin,3,2018-05-08 00:00:00,3,2018-05-27 00:00:00
337,YpUmmXnhpu,143,3,4,2016,0,2002,Marguerite Harmer,2,2019-12-29 00:00:00,3,2020-01-09 00:00:00
338,OReIMZurLe,70,3,4,2016,0,2000,Suzanne Carlson,4,1000-01-01 00:00:00,4,1000-01-01 00:00:00
339,IgnWcZWAyC,33,3,7,2016,0,1991,Tommy Clark,3,1000-01-01 00:00:00,5,1000-01-01 00:00:00
340,DApAEHMYSp,14,4,4,2018,0,2007,Patsy Stockbridge,2,2018-03-27 00:00:00,6,2018-04-08 00:00:00
341,ssLJidMLOL,128,1,2,2017,0,2000,Lisa Velasco,3,1000-01-01 00:00:00,1,1000-01-01 00:00:00
342,loZRRnfWKU,63,3,2,2018,0,1994,George Guy,3,1000-01-01 00:00:00,4,1000-01-01 00:00:00
343,wfhpfwIZrb,142,1,3,2019,0,1996,Ryan Archer,4,2017-11-14 00:00:00,2,2017-11-30 00:00:00
344,mlgSGyfYmU,59,3,9,2018,0,2004,Mary Myers,1,1000-01-01 00:00:00,3,1000-01-01 00:00:00
345,qjLhZLrSks,133,1,4,2017,2018,2001,Kathryn Teeter,4,2018-02-11 00:00:00,5,2018-03-08 00:00:00
346,NgtTciCBYA,84,3,5,2019,0,1991,John Tucker,5,2017-12-18 00:00:00,9,2017-12-31 00:00:00
347,DXmybQjPck,143,1,8,2019,0,2006,Marguerite Harmer,2,2018-02-06 00:00:00,7,2018-03-03 00:00:00
348,OvBIbuNJqP,22,4,9,2019,0,1999,Charlotte Ritchie,1,2017-07-14 00:00:00,6,2017-08-04 00:00:00
349,NcZKGsMiYH,135,1,6,2019,2020,2003,Bobby Adams,5,2019-06-02 00:00:00,7,2019-06-27 00:00:00
350,FGfRdSCJdx,144,4,3,2019,2021,2006,Lisa Velasco,5,2019-07-03 00:00:00,4,2019-07-20 00:00:00
351,pNPpMHkbSf,55,2,5,2019,0,1991,Courtney Rogers,1,1000-01-01 00:00:00,3,1000-01-01 00:00:00
352,mlgSGyfYmU,75,1,2,2017,0,2004,Albert Benedict,1,2018-10-15 00:00:00,1,2018-10-28 00:00:00
353,srmlsbWdhm,45,2,7,2017,0,2006,Barton Rose,1,1000-01-01 00:00:00,9,1000-01-01 00:00:00
354,eXCDzvqrDk,75,2,6,2018,0,1991,Eva Fitzgerald,4,2018-02-25 00:00:00,4,2018-03-02 00:00:00
355,iagFZLQXOd,120,4,6,2016,0,1991,George Guy,5,2019-10-08 00:00:00,1,2019-10-13 00:00:00
356,IPTPWTrIyO,103,1,2,2017,0,1994,Malena Griffin,1,1000-01-01 00:00:00,5,1000-01-01 00:00:00
357,NeGmkHHftE,92,1,2,2016,0,1996,Forrest Brady,5,2018-11-21 00:00:00,1,2018-12-02 00:00:00
358,wfhpfwIZrb,52,3,9,2017,2020,2004,Joshua Gentry,3,2018-02-05 00:00:00,7,2018-02-20 00:00:00
359,pNPpMHkbSf,103,1,2,2017,0,2005,Lydia Weaver,4,1000-01-01 00:00:00,7,1000-01-01 00:00:00
360,vSiqFVBxQk,148,3,1,2018,2020,2002,Alex Vinson,4,2019-10-02 00:00:00,7,2019-10-27 00:00:00
361,GEolesoFDi,77,4,5,2016,0,1997,Marc Naiman,3,2018-11-06 00:00:00,6,2018-11-21 00:00:00
362,UgYNurCjMF,114,1,4,2019,2021,1995,Bobby Adams,2,1000-01-01 00:00:00,8,1000-01-01 00:00:00
363,IPTPWTrIyO,90,3,2,2019,0,2008,Courtney Rogers,1,1000-01-01 00:00:00,9,1000-01-01 00:00:00
364,HyLygEtbfh,110,1,3,2019,0,1998,Jerome Collier,1,1000-01-01 00:00:00,4,1000-01-01 00:00:00
365,fFSBvRnvrA,36,3,7,2019,2022,1996,Timothy Miranda,3,1000-01-01 00:00:00,8,1000-01-01 00:00:00
366,qTTmjdJIdH,80,3,5,2019,2022,2000,Courtney Rogers,5,1000-01-01 00:00:00,7,1000-01-01 00:00:00
367,MURLjHYYzR,83,3,7,2016,0,2008,Suzanne Freeman,4,2018-08-22 00:00:00,7,2018-09-10 00:00:00
368,GBPLmxQaJu,45,1,6,2018,0,2005,Dorothy Mutchler,3,2017-10-20 00:00:00,5,2017-11-18 00:00:00
369,ppsqGwZgHF,35,4,8,2016,0,1996,Tracy Haines,4,2017-11-19 00:00:00,3,2017-11-23 00:00:00
370,pDJFIJKenh,150,1,4,2017,0,1995,Monica Taft,2,1000-01-01 00:00:00,5,1000-01-01 00:00:00
371,UgYNurCjMF,109,1,1,2018,0,1998,Lori Branch,3,2017-12-06 00:00:00,4,2017-12-24 00:00:00
372,GBPLmxQaJu,95,1,7,2018,0,2005,Antonio Letourneau,4,1000-01-01 00:00:00,1,1000-01-01 00:00:00
373,DqhpYwumjd,45,4,5,2019,0,2007,Timothy Koopmans,5,2019-10-19 00:00:00,9,2019-10-20 00:00:00
374,eXCDzvqrDk,19,1,9,2018,0,1997,Ryan Archer,4,2018-11-14 00:00:00,2,2018-11-30 00:00:00
375,fFSBvRnvrA,25,1,6,2019,2022,1996,Matthew Moore,3,2019-12-07 00:00:00,9,2019-12-19 00:00:00
376,bnKMZWDjiQ,31,2,9,2016,0,2004,Allison Bristow,3,2018-03-16 00:00:00,8,2018-04-10 00:00:00
377,HyLygEtbfh,10,1,9,2019,0,2007,Maria Brown,2,1000-01-01 00:00:00,6,1000-01-01 00:00:00
378,goizBSpXkL,92,2,1,2019,0,1997,Mary Loveless,1,2019-12-07 00:00:00,3,2020-01-06 00:00:00
379,seTMtYJVyE,43,2,4,2016,0,2009,Chung Brodeur,3,1000-01-01 00:00:00,8,1000-01-01 00:00:00
380,OBknRkXxNS,150,3,7,2018,0,1993,Mary Myers,1,1000-01-01 00:00:00,6,1000-01-01 00:00:00
381,snJubEmlTU,82,3,1,2017,0,2000,Mary Myers,1,2019-02-17 00:00:00,2,2019-02-18 00:00:00
382,amCtvCfbEy,81,4,2,2016,0,1991,Annie Rymer,3,1000-01-01 00:00:00,4,1000-01-01 00:00:00
383,nGyimeifvr,46,4,7,2017,0,1999,Louie Sullivan,3,2019-08-30 00:00:00,2,2019-09-05 00:00:00
384,AkYFXFZVDr,22,2,2,2019,0,1991,Phil Brown,2,2019-05-23 00:00:00,4,2019-05-26 00:00:00
385,PLWSCDYZfF,59,4,8,2016,2019,1993,Margaret Mcdaniel,4,2018-07-07 00:00:00,9,2018-07-24 00:00:00
386,dsawRJfVQt,110,3,1,2019,0,2009,Felipe Hertel,2,2018-08-19 00:00:00,6,2018-08-31 00:00:00
387,DqhpYwumjd,144,4,6,2017,0,1999,Kelley Nation,5,2017-07-30 00:00:00,7,2017-08-24 00:00:00
388,ZjQYSQpoCv,48,3,2,2018,0,1996,Violet Ponce,4,1000-01-01 00:00:00,1,1000-01-01 00:00:00
389,tCnnERoMPG,69,3,7,2016,0,1997,Marybeth Swinehart,4,1000-01-01 00:00:00,5,1000-01-01 00:00:00
390,IgIwUsIOCw,11,3,6,2018,0,2009,Ricky Damon,4,2018-10-02 00:00:00,6,2018-10-18 00:00:00
391,MURLjHYYzR,19,1,3,2016,0,2003,Felipe Hertel,3,2017-06-14 00:00:00,6,2017-07-04 00:00:00
392,KJJopjwOYb,50,4,4,2019,0,1990,Jerome Collier,5,1000-01-01 00:00:00,5,1000-01-01 00:00:00
393,XRxFRKGyvs,92,1,2,2017,2019,2009,Angelina Washington,4,2019-01-19 00:00:00,6,2019-02-03 00:00:00
394,bnKMZWDjiQ,119,1,5,2016,0,2002,Adam Wenk,1,1000-01-01 00:00:00,6,1000-01-01 00:00:00
395,srmlsbWdhm,101,2,1,2019,2020,2004,Mary Myers,2,1000-01-01 00:00:00,4,1000-01-01 00:00:00
396,ahxIUzrHhw,97,4,5,2019,0,1992,Georgia Harrison,2,1000-01-01 00:00:00,3,1000-01-01 00:00:00
397,ImjbsxFjaH,140,4,6,2017,0,1997,Charlotte Ritchie,4,1000-01-01 00:00:00,9,1000-01-01 00:00:00
398,PbqUoDenDN,27,2,8,2018,0,2005,Tanya Grayson,1,2019-01-18 00:00:00,7,2019-02-08 00:00:00
399,IgIwUsIOCw,125,3,3,2019,0,2007,Allison Bristow,2,1000-01-01 00:00:00,4,1000-01-01 00:00:00
400,rJtzbwgmhE,141,4,6,2018,0,1991,Annie Rymer,1,2017-08-21 00:00:00,8,2017-09-17 00:00:00
401,dBTEdEcDCQ,114,1,6,2019,2020,2004,Justin Rizzo,3,1000-01-01 00:00:00,5,1000-01-01 00:00:00
402,goizBSpXkL,130,1,4,2017,0,2001,Cathy Schmitz,5,2019-11-23 00:00:00,4,2019-12-01 00:00:00
403,waRlCEJzdU,57,3,8,2018,2020,1998,Charlotte Ritchie,1,1000-01-01 00:00:00,5,1000-01-01 00:00:00
404,LrsaGlDBbU,96,4,4,2016,0,2006,Louie Sullivan,5,1000-01-01 00:00:00,3,1000-01-01 00:00:00
405,KJJopjwOYb,45,4,6,2018,2019,1999,Adam Wenk,5,2018-08-05 00:00:00,7,2018-08-20 00:00:00
406,qxHpMIdEuo,55,2,3,2019,0,1990,Pamela Davis,2,2018-05-11 00:00:00,7,2018-06-06 00:00:00
407,xUqqBqEuui,72,2,2,2019,2021,1997,Mary Myers,2,2017-10-11 00:00:00,2,2017-11-07 00:00:00
408,KJJopjwOYb,40,4,1,2017,0,1990,Kathleen Heinz,5,2019-10-08 00:00:00,9,2019-10-28 00:00:00
409,EEatNodEmN,82,1,9,2018,2019,2009,Mary Myers,4,1000-01-01 00:00:00,3,1000-01-01 00:00:00
410,jneIECGHZA,38,4,4,2017,0,1990,Chad Ayers,1,2018-08-15 00:00:00,8,2018-08-25 00:00:00
411,XlJwIibhJq,50,1,8,2017,0,2009,James Harrison,2,2019-05-12 00:00:00,7,2019-06-10 00:00:00
412,wKCLcBdfYK,140,1,8,2016,0,1998,Annie Rymer,1,1000-01-01 00:00:00,4,1000-01-01 00:00:00
413,GBPLmxQaJu,68,2,2,2016,0,2002,Timothy Fox,4,1000-01-01 00:00:00,9,1000-01-01 00:00:00
414,dsawRJfVQt,42,4,3,2017,0,2008,Lori Mcvey,2,1000-01-01 00:00:00,6,1000-01-01 00:00:00
415,csLuyypDYc,76,1,2,2018,0,2006,Tracy Haines,5,2017-07-04 00:00:00,3,2017-07-19 00:00:00
416,bnKMZWDjiQ,110,3,9,2017,0,1991,Cathy Schmitz,2,1000-01-01 00:00:00,2,1000-01-01 00:00:00
417,BUVbKcuLVm,33,1,3,2017,2018,2007,Felipe Hertel,3,1000-01-01 00:00:00,3,1000-01-01 00:00:00
418,eXCDzvqrDk,44,2,1,2016,0,2009,Charlotte Ritchie,3,1000-01-01 00:00:00,2,1000-01-01 00:00:00
419,IdDbDPkLFp,116,3,2,2016,0,1996,Annie Perez,3,2019-10-01 00:00:00,8,2019-10-31 00:00:00
420,waRlCEJzdU,76,2,3,2017,0,1999,Richard Mendoza,5,2017-11-23 00:00:00,4,2017-12-15 00:00:00
421,ODTYEyTrqK,59,3,6,2017,0,2006,Leonard Carter,5,2018-01-25 00:00:00,4,2018-02-25 00:00:00
422,prhchyPiAq,62,2,9,2017,0,2004,Robert Mauldin,1,1000-01-01 00:00:00,9,1000-01-01 00:00:00
423,BUVbKcuLVm,130,4,2,2018,0,2003,Violet Ponce,2,2019-01-11 00:00:00,7,2019-02-08 00:00:00
424,sXszVSxOcV,18,4,6,2017,0,1992,Leonard Rouse,2,1000-01-01 00:00:00,8,1000-01-01 00:00:00
425,ODTYEyTrqK,135,3,7,2017,0,2000,Cody Holt,4,1000-01-01 00:00:00,8,1000-01-01 00:00:00
426,wfhpfwIZrb,97,4,3,2019,2020,2002,Jason Bobo,4,1000-01-01 00:00:00,5,1000-01-01 00:00:00
427,WckkxOTmQd,96,1,7,2017,0,2000,Debra Riddle,1,2019-10-17 00:00:00,7,2019-11-04 00:00:00
